AccountId,AccountNumber,AccountType,AccountHolderFullName,IdType,IdValue,AccountHolderEmailAddress,AccountHolderMobileNumber,ProductType,ShariaCompliance,ProviderType
B094AA2C-0CE,31328998307,E-Wallet (Individual),Maya Gopal,NRIC,960925-3342,vj3hipxt@outlook.com,60526191141,Conventional,False,RHB Bank
9D4EBD85-E73,30647166175,E-Wallet (Individual),Srinivas Krishnan,NRIC,840528-6834,gwgrw01w@yahoo.com,60897599677,Conventional,False,RHB Bank
2126D338-03F,79689950353,Savings,Zaleha binti Ali,NRIC,841014-7330,zt7kf0ep@outlook.com,60793294257,Conventional,False,Maybank
215DE7CC-EB6,38007735113,Savings,Xiu Ying Ho,NRIC,730923-8263,hsxa5c64@hotmail.com,60842327295,Conventional,False,Touch n Go
4BE8004B-9FB,58386579203,Savings,Priya Raman,NRIC,650123-1231,djotkgv4@hotmail.com,60402189582,Conventional,False,Alliance Bank
0BE160AB-A63,40976034139,Savings,Noraini binti Hassan,NRIC,550122-3087,g671uloh@yahoo.com,60576280550,Conventional,False,Alliance Bank
DEC7D2A9-038,19556453997,Savings,Mariam binti Ali,NRIC,731024-1753,qa0lv717@hotmail.com,60999383406,Conventional,False,Alliance Bank
0067B544-D01,23886464519,E-Wallet (Individual),Razak bin Ismail,NRIC,541019-3083,nwtbqx45@hotmail.com,60136877422,Conventional,False,Public Bank
46254894-081,40503155174,Savings,Zain bin Said,NRIC,700326-4286,rgqljrwu@gmail.com,60105811888,Conventional,False,Touch n Go
4EDBF2A0-D94,30039152933,E-Wallet (Individual),Maya Gopal,NRIC,580417-2291,u6itw3ow@outlook.com,60767736955,Conventional,False,CIMB
2018A03D-42C,68286871970,Savings,Mohan Singh,NRIC,890616-4626,j3n8bfj6@yahoo.com,60856622087,Conventional,False,Touch n Go
8EA839C4-63D,54237704444,E-Wallet (Individual),Suresh Raman,NRIC,580218-3253,ptc1v4qt@hotmail.com,60419076672,Conventional,False,Alliance Bank
60425B55-8BF,54121946064,E-Wallet (Individual),Anand Patel,NRIC,581014-7760,cfwik6z1@hotmail.com,60433875545,Conventional,False,RHB Bank
41C85FF4-59B,65112095828,E-Wallet (Individual),Yan Chen,NRIC,720114-3304,usd7vh5j@yahoo.com,60907057692,Conventional,False,Alliance Bank
D2805F69-89A,97484951160,Savings,Aminah binti Said,NRIC,940607-9791,vhodqtr7@yahoo.com,60424665507,Conventional,False,Alliance Bank
6236AFB1-D71,25012681077,E-Wallet (Individual),Mei Ling Ng,NRIC,780804-4702,ifmk66hl@outlook.com,60924285999,Conventional,False,Alliance Bank
0DCA0E78-2E2,30324801589,E-Wallet (Individual),Priya Singh,NRIC,761126-2304,zkapn2n2@gmail.com,60985404500,Conventional,False,Touch n Go
AC4AE5B5-7A7,93150477563,E-Wallet (Individual),Vijay Singh,NRIC,810210-9136,j201cub1@outlook.com,60506989872,Conventional,False,RHB Bank
1A0218D6-AC9,63318031472,E-Wallet (Individual),Indira Patel,NRIC,730918-5741,gjjds1o8@gmail.com,60680113783,Conventional,False,Public Bank
4D95D223-95C,53655707287,Savings,Mei Fong Chen,NRIC,520613-7097,vmp2wecx@yahoo.com,60118205890,Conventional,False,Alliance Bank
C1038F1B-7C5,35713291492,Savings,Rosmah binti Ismail,NRIC,541001-9068,e2up66nd@gmail.com,60462694462,Conventional,False,Maybank
0353A4E1-D21,99169494563,E-Wallet (Individual),Noraini binti Yusof,NRIC,800415-8982,pj7vc4va@yahoo.com,60946523622,Conventional,False,RHB Bank
9F08E16A-CE6,60875545022,Savings,Lakshmi Raman,NRIC,810923-8594,zdviq20x@outlook.com,60493871154,Conventional,False,Public Bank
3511693F-B64,18815782265,E-Wallet (Individual),Anita Krishnan,NRIC,960623-7044,8gye5yu3@outlook.com,60193581901,Conventional,False,HSBC Bank
CBE4E2FD-366,10201625067,E-Wallet (Individual),Ah Hock Chong,NRIC,600221-4617,veladw3r@hotmail.com,60785033074,Conventional,False,RHB Bank
3DD5AAB5-66D,17904147427,Savings,Mohan Patel,NRIC,821024-1730,3mn1rcm6@hotmail.com,60586978644,Conventional,False,HSBC Bank
B6A63525-C21,21436572271,E-Wallet (Individual),Indira Singh,NRIC,780523-2542,ym2ffr5w@hotmail.com,60510510932,Conventional,False,Maybank
54026087-924,94003117586,E-Wallet (Individual),Sarita Krishnan,NRIC,880426-7944,2nls37ds@outlook.com,60543022349,Conventional,False,Alliance Bank
6641DCAB-EF9,49586257264,Savings,Nur binti Ahmad,NRIC,930405-3978,siynes4t@outlook.com,60690433551,Conventional,False,Maybank
D66E108A-F5A,23617313699,E-Wallet (Individual),Maya Nair,NRIC,870717-1425,pph9nupt@hotmail.com,60196228400,Conventional,False,Public Bank
21BCC502-481,85923520153,E-Wallet (Individual),Anita Nair,NRIC,600720-3589,qnk5mjcx@outlook.com,60970847342,Conventional,False,RHB Bank
C95E0382-F0C,77511790869,E-Wallet (Individual),Abdul bin Yusof,NRIC,510704-4190,3p26s7jq@gmail.com,60434703315,Conventional,False,Touch n Go
7C33EC4B-763,74304346874,Savings,Li Hua Lee,NRIC,970421-1585,qlyjg7sq@outlook.com,60381000958,Conventional,False,Touch n Go
D89BD105-5CE,66501635645,Savings,Fatimah binti Ali,NRIC,890826-2423,k0v4tksa@outlook.com,60397832340,Conventional,False,Maybank
B10EE0BB-530,90020724345,Savings,Hafiz bin Hassan,NRIC,640121-6809,go12bgy9@hotmail.com,60607444072,Conventional,False,Maybank
C0645B17-9A5,86146559792,E-Wallet (Individual),Boon Ho,NRIC,500502-7533,rv7pyzqc@hotmail.com,60970332777,Conventional,False,Alliance Bank
35CC1604-E77,45667946301,Savings,Xiu Ying Wong,NRIC,910821-3579,zum75t6j@yahoo.com,60901372517,Conventional,False,CIMB
9AA20D1C-19F,25943160365,E-Wallet (Individual),Farid bin Hassan,NRIC,650709-3808,589mmfim@outlook.com,60196228893,Conventional,False,Public Bank
B334BC25-71C,62459087849,Savings,Yan Wong,NRIC,881109-5352,ctthse3c@gmail.com,60225186841,Conventional,False,Maybank
A6367C4F-F70,54810037557,E-Wallet (Individual),Kai Chong,NRIC,890716-1952,z37fendz@hotmail.com,60804662993,Conventional,False,CIMB
B4084172-FA0,52442111947,Savings,Jian Chen,NRIC,930226-6816,e7bhn095@outlook.com,60987997314,Conventional,False,Public Bank
81BB2879-14C,52549082477,E-Wallet (Individual),Mei Ling Wong,NRIC,991103-9915,a7gwq1e7@hotmail.com,60766913547,Conventional,False,HSBC Bank
1A541FF8-C57,66592136000,Savings,Li Hua Ho,NRIC,790918-7808,j3zzp1bo@gmail.com,60947475866,Conventional,False,Alliance Bank
34C4963E-695,13736384908,Savings,Ah Hock Lim,NRIC,500405-3854,drjqs4gj@outlook.com,60608350360,Conventional,False,Maybank
B85D01E4-CFC,70176399175,E-Wallet (Individual),Zarina binti Said,NRIC,720217-4283,nz29iw35@gmail.com,60659325900,Conventional,False,HSBC Bank
8B7345F4-C9B,21864403789,Savings,Omar bin Ibrahim,NRIC,691228-1232,rg0tg5b6@yahoo.com,60302887121,Conventional,False,RHB Bank
512AF2FD-15E,62727576652,E-Wallet (Individual),Aisyah binti Mahmood,NRIC,620209-5976,wh72xk7a@hotmail.com,60277301253,Conventional,False,HSBC Bank
8E15C68F-89E,60359438946,E-Wallet (Individual),Lakshmi Krishnan,NRIC,620310-5201,pbict515@yahoo.com,60135402411,Conventional,False,Public Bank
85B5B0AE-5A2,49777265452,Savings,Wei Ng,NRIC,521017-2370,jj2lwchp@hotmail.com,60423939754,Conventional,False,Public Bank
38B892E4-C73,77487172071,E-Wallet (Individual),Mohan Nair,NRIC,800410-8836,wzawvsre@hotmail.com,60750141691,Conventional,False,CIMB
9BCCD9F7-854,23447565406,Savings,Boon Lim,NRIC,780112-6307,epjvj3t1@outlook.com,60666154360,Conventional,False,Touch n Go
230B1B9B-ABF,73375478898,Savings,Rajesh Nair,NRIC,590707-1196,c7oi6fa9@outlook.com,60325691866,Conventional,False,Touch n Go
B971814D-4AC,89241177628,E-Wallet (Individual),Anita Krishnan,NRIC,680818-1271,21vu0h2d@yahoo.com,60328202980,Conventional,False,CIMB
316C1CDB-6BD,10029622414,Savings,Hui Ho,NRIC,870927-8465,vf8324h0@gmail.com,60611099754,Conventional,False,Alliance Bank
3F3B4B66-95D,27858571115,Savings,Mohan Raman,NRIC,700917-4605,x7htngb0@yahoo.com,60748936473,Conventional,False,Touch n Go
53387B72-16A,85592238222,E-Wallet (Individual),Siti binti Abdullah,NRIC,770810-6911,r9oojh7j@yahoo.com,60639440375,Conventional,False,CIMB
39F31282-119,54696717005,Savings,Xiu Ying Chen,NRIC,590210-8874,12a29dbv@hotmail.com,60984504570,Conventional,False,RHB Bank
19F5C0D6-4B0,76941910780,Savings,Ismail bin Hassan,NRIC,801004-5911,luy8use6@hotmail.com,60531402944,Conventional,False,Touch n Go
B23DBB79-618,81190244994,E-Wallet (Individual),Deepa Singh,NRIC,540426-1935,qatgwnlx@gmail.com,60948203173,Conventional,False,Maybank
8804F823-495,89969918730,E-Wallet (Individual),Mei Ling Lim,NRIC,840305-1046,ma4sq37c@gmail.com,60125274102,Conventional,False,Maybank
1AA0A221-44C,68074393745,E-Wallet (Individual),Zaleha binti Ismail,NRIC,661215-6274,wf1r0mqr@outlook.com,60278942724,Conventional,False,Alliance Bank
73278A20-ADA,65504213789,Savings,Xiu Ying Ho,NRIC,751008-9384,u76hyexw@hotmail.com,60478958168,Conventional,False,Touch n Go
3CB8B2EF-5C6,53854879757,Savings,Maya Patel,NRIC,740821-3745,y4unyk6r@yahoo.com,60454221302,Conventional,False,Maybank
E3ED5C75-CC3,94428713055,Savings,Vijay Patel,NRIC,930323-4247,ri1ptuzu@hotmail.com,60996011160,Conventional,False,Public Bank
B92D010B-136,50103617320,Savings,Priya Singh,NRIC,870821-2454,n0a7vnhb@gmail.com,60643626381,Conventional,False,Public Bank
0584709F-8F2,59241817665,E-Wallet (Individual),Suresh Nair,NRIC,970605-6466,aka3ubyx@gmail.com,60441970532,Conventional,False,RHB Bank
857B1131-5F0,85567541940,Savings,Kai Tan,NRIC,790428-4147,la11itmb@outlook.com,60736660770,Conventional,False,CIMB
C21AB744-DF7,19946038737,Savings,Ismail bin Ismail,NRIC,710625-4508,t254bbjz@outlook.com,60796527615,Conventional,False,HSBC Bank
BF3CD9FF-3F2,52868228878,Savings,Farid bin Ibrahim,NRIC,850305-1534,l02oco0d@hotmail.com,60164790519,Conventional,False,RHB Bank
89131126-F49,27485332456,E-Wallet (Individual),Kai Ho,NRIC,630311-7410,nf4z530d@outlook.com,60292526685,Conventional,False,Touch n Go
3D163366-CB5,99566230416,E-Wallet (Individual),Lakshmi Singh,NRIC,530509-8269,8y6hkwsg@outlook.com,60603972330,Conventional,False,Maybank
0C8AEC75-4CB,27277838983,E-Wallet (Individual),Ah Hock Lee,NRIC,590714-2228,635blo08@yahoo.com,60659612876,Conventional,False,Touch n Go
A15AF4EC-365,96976942243,Savings,Hakim bin Ibrahim,NRIC,500702-4220,fq39w5wh@gmail.com,60258833667,Conventional,False,Alliance Bank
FC498DD6-A58,20946587778,Savings,Priya Raman,NRIC,730608-5795,x5vvs92h@outlook.com,60318617205,Conventional,False,Maybank
48F9350E-ED2,76658599327,Savings,Li Hua Chong,NRIC,670427-5609,5e51oybt@outlook.com,60182858465,Conventional,False,CIMB
F5E0FEDF-F1E,55303452687,Savings,Ahmad bin Razali,NRIC,760526-7190,h9k0hp8p@outlook.com,60952851651,Conventional,False,HSBC Bank
069A7258-053,60765622289,Savings,Hui Lim,NRIC,580822-7780,i1s2khjq@gmail.com,60398452830,Conventional,False,RHB Bank
2E4727E5-10B,99493035403,E-Wallet (Individual),Wei Chen,NRIC,910606-6823,04u6bz1e@outlook.com,60410001534,Conventional,False,Touch n Go
600156E1-B4C,30541173962,E-Wallet (Individual),Chee Keong Chen,NRIC,921215-1791,suojqju0@yahoo.com,60316283478,Conventional,False,RHB Bank
8DF7A078-898,76260720565,E-Wallet (Individual),Rajesh Singh,NRIC,790804-4287,u8fr9kbm@gmail.com,60803257779,Conventional,False,Public Bank
434DBBE5-BEA,92862864140,Savings,Indira Patel,NRIC,840914-5723,y28mlq15@outlook.com,60353058223,Conventional,False,HSBC Bank
0F9A630C-AB1,48535340368,E-Wallet (Individual),Fatimah binti Razali,NRIC,750107-3869,jvxpbk69@hotmail.com,60653914617,Conventional,False,CIMB
408C99DB-BD0,65731194369,Savings,Anand Nair,NRIC,850123-9458,uskyetw7@hotmail.com,60185644864,Conventional,False,Maybank
EB5A9DA1-FD9,46471207859,Savings,Priya Raman,NRIC,840307-9282,bbzqwxmx@yahoo.com,60579301246,Conventional,False,Touch n Go
994584CB-131,13530840493,Savings,Siti binti Ibrahim,NRIC,771113-8266,vf2b22ln@yahoo.com,60785264961,Conventional,False,RHB Bank
250A6E08-FAF,71552292436,E-Wallet (Individual),Ahmad bin Mahmood,NRIC,810809-1937,n4x0upon@yahoo.com,60740731333,Conventional,False,Maybank
3C495C98-29B,99075896279,Savings,Mei Ling Tan,NRIC,691223-1856,6ej1av9z@gmail.com,60868239324,Conventional,False,RHB Bank
6ED88DCA-CB9,50790675617,E-Wallet (Individual),Wei Ng,NRIC,600406-8246,gpp742f8@yahoo.com,60635051381,Conventional,False,Alliance Bank
2CE6F702-A73,86514932923,E-Wallet (Individual),Hui Tan,NRIC,660118-2533,y0ac3mzy@hotmail.com,60593432740,Conventional,False,Public Bank
91E64FF1-55B,16489036757,E-Wallet (Individual),Indira Raman,NRIC,920615-5211,s45xix3d@yahoo.com,60424592094,Conventional,False,Maybank
EAE197AE-045,25092735946,E-Wallet (Individual),Chee Keong Tan,NRIC,530408-8991,gg92qh79@gmail.com,60386048453,Conventional,False,CIMB
47DFFF7D-B25,29737513435,Savings,Fatimah binti Ahmad,NRIC,830324-4848,vq5vumkb@outlook.com,60804059198,Conventional,False,RHB Bank
235C3F7F-C27,33393068425,E-Wallet (Individual),Ah Hock Chen,NRIC,920226-9235,yv3eiahb@outlook.com,60915861400,Conventional,False,CIMB
626CB47B-154,80752004846,E-Wallet (Individual),Li Hua Ho,NRIC,850314-4684,ipj2vzux@gmail.com,60661418971,Conventional,False,CIMB
FE5B3DB4-665,40305260963,E-Wallet (Individual),Ravi Raman,NRIC,580128-8979,z8q0i8j9@gmail.com,60798978883,Conventional,False,Alliance Bank
77C072C0-37F,48545474918,E-Wallet (Individual),Jian Chen,NRIC,500113-1352,usrqtggv@outlook.com,60495821820,Conventional,False,CIMB
932AB801-71F,43993973794,E-Wallet (Individual),Zain bin Hassan,NRIC,570807-7550,5464cxjl@outlook.com,60440745081,Conventional,False,HSBC Bank
1791DFA3-A39,81172830862,E-Wallet (Individual),Nur binti Said,NRIC,520804-8120,ut8j6lsd@gmail.com,60871631913,Conventional,False,Alliance Bank
23D260B4-E25,15441550376,E-Wallet (Individual),Anita Raman,NRIC,530304-4090,psocn32w@outlook.com,60548118038,Conventional,False,Alliance Bank
EEED4E15-8BE,72534932790,Savings,Zain bin Abdullah,NRIC,520201-5979,9uqawdx9@outlook.com,60696753992,Conventional,False,Maybank
3113B5EB-1A5,43430648640,E-Wallet (Individual),Yan Ho,NRIC,580424-9371,55f35xhp@hotmail.com,60412487684,Conventional,False,Public Bank
BB6FC856-CB2,97813533318,Savings,Anand Gopal,NRIC,520515-9382,goe6n6ep@hotmail.com,60768534085,Conventional,False,HSBC Bank
9BBFD424-DE2,46818306484,E-Wallet (Individual),Kumar Nair,NRIC,580723-2868,t9aigr5e@outlook.com,60382267377,Conventional,False,CIMB
68C1BEC2-330,92680397853,Savings,Hui Tan,NRIC,900517-9542,30dyiub7@outlook.com,60380785030,Conventional,False,Maybank
33F0B4BB-808,39738789378,Savings,Hassan bin Abdullah,NRIC,500821-2069,cu5lm4uy@hotmail.com,60819883482,Conventional,False,HSBC Bank
00F9EE18-A94,26140316704,E-Wallet (Individual),Boon Lee,NRIC,500518-9498,0rsp4d4o@gmail.com,60987539275,Conventional,False,CIMB
49237671-C87,13647207392,E-Wallet (Individual),Jian Wong,NRIC,821012-4850,ooyrmwid@yahoo.com,60315267579,Conventional,False,Touch n Go
53C587C6-10B,28899661397,E-Wallet (Individual),Jian Chong,NRIC,800304-5604,3z0zyx36@outlook.com,60491116346,Conventional,False,RHB Bank
0F5FEDC3-E1D,39525641430,Savings,Mohan Krishnan,NRIC,790216-3706,yaupxokf@outlook.com,60237734482,Conventional,False,RHB Bank
